id,content,link,class
dc_aigc001,今天又和妈妈吵起来 她说我总是不懂事 我说我已经很努力了但是没有被看见 自己的安排总是被她一句话推翻 还被责怪得特别难受 总说别家的孩子怎么怎么的更有出息 而我是总被拿来做比较的那个 时间长了我也不想顶嘴 本来以为也习惯了 但她时不时的冷嘲热讽总让我感觉到窒息 今天的晚饭没做好 她又说你怎么这么笨 我没说话一个人在收拾 感觉自己像个被动挨打的失败者 家里房门也不让我锁 我连喘息的空间都没有 别人都说父母是港湾 我为什么总觉得我是在被风浪反复拍打呢？,,2
dc_aigc002,爸爸说我回家太晚，我说只是加班，他却说我不孝顺，老是出去鬼混，我被他骂得特别委屈，回房间想锁房门，却发现钥匙被他收走了，行李也被他翻得乱七八糟。别人家的父母会先问“你累不累”，我家只有“你怎么这么没出息，怪不得不找对象，谁看得上你”。我也想好好沟通，可他一句“别找借口”把我的话堵死了。我的工资卡也被要求上交，我没有反抗的勇气。明明我有把自己的行程提前报备，也从来不去酒吧这些，但他还是不听。我真的太难过了，又不知道该怎么办。,,2
dc_aigc003,我妹妹考了第一，我妈听到之后来问我怎么当时连一本都考不上，我说我当时已经尽力了，现在我毕业也找到了工作，可她还是说“你当年就是贪玩不学习”。周末我被安排去相亲，思来想去还是不想跟相亲对象继续接触，回家后我被她骂没有眼光。我被数落到极其崩溃，就感觉像是被一把钝刀慢慢得割。刷小红薯看到别人家的女儿在自己喜欢的领域里闪闪发光，我的选择被她一句“别想了”一笔勾销。明明我有工作，工作也不差，她却总觉得别人家的孩子做老师和公务员，这些才是正经的好工作......,,2
dc_aigc004,昨天晚上和朋友出去玩的计划被取消，去参加亲戚的饭局了，感觉自己像个被拴着的提线人偶。可能我看起来情绪不怎么高，回家后马上被妈妈指责，说我不懂得尊敬长辈。我到家回房间说我想一个人呆会儿，她马上说“别装”。我说“我从没有被你们重视，只是被安排。”当时可能说的比较急，也比较委屈，语气有些重，她看我哭了，也没有安慰我，只是说“快三十了还这么矫情”。今天午休被她电话连续轰炸，信息也被她要求要秒回，总感觉我的个人空间被挤得特别窄。哎。。。,,2
dc_aigc005,我本来只想买一件外套，sales跟我说有一件版型特显瘦，我说我的预算不够，她又说“分期买就行”。我被她的话绕晕了，晕乎乎的就刷卡了，回家才发现买的衣服没有吊牌，瑕疵也特别多。我打电话联系店铺，他们却说“没吊牌是不能退换的”。感觉别人买东西总能薅到羊毛，我却总是莫名其妙各种被店员套路。明明我也不爱贪便宜，但总是被坑，而且心里特别委屈。我就继续跟客服理论，他还说“买这件衣服是你自己决定的”，我被这句话刺得人都麻了，只能自己心里面默默后悔。为什么别人都能买到便宜好货啊啊啊？？,,2
dc_aigc006,客服说这款精华能拯救熬夜脸，我说我皮肤比较敏感，她却跟我说“敏感肌用这个也没有问题”。结果我下单后一用，脸被刺激得又红又痒，整晚都特别焦虑。后来我申请退货，客服却说“拆封过的不能退”。我感觉自己被这个买东西的流程困住了。别人用了同款脸都白得发光，我用完只有很红的过敏脸。明明我有按说明试用，也没有叠加用其他产品，还是被嘲笑说“不会护肤”。为了买这瓶精华我花光了一个月的工资，结果现在只能自我安慰。客服竟然还跟我说“穷就别买贵的护肤了”，我被这句话压得透不过气。,,2
dc_aigc007,导师说我的论文一点没有灵魂，他说“所以你这一周什么都没做？”，我说我已经通宵改了，他还说“别找借口”。评阅的时候论文被无情打回，答辩被推迟，我被压得人快崩溃了。别人都已经拿到了奖学金和教授的推荐信，我却仿佛被红笔划得满目疮痍。导师他跟我说“放松点”，我却没力气回应他了。。。明明我有按要求做实验，也用心写论文了，他仍这样批评我。我被评阅的分数和deadline追着跑，感觉自己也很无能，心口疼，盯着电脑发呆。计划被导师一票否决，数据被质疑，我的努力被说成“没有价值”。看到别人的答辩视频被夸到天上，我更自卑了。,,2
uc_aigc001,这次去海岛旅游真的是我最近最幸福的回忆！海水巨蓝，沙滩上的沙子超级细腻踩上去，而且几天都是蓝天白云的好天气，像在童话世界一样。在这里我心情超级放松，拍了很多漂亮的人生照片。每次想到这次的旅行经历，心里很满足很快乐，觉得自己是世界上最最幸福的旅行家！尤其是感受到海风的轻拂，温暖的阳光，心情真的特别舒畅。这次的经历让我深深体会到大自然的美丽景观才是最打动人心的，真心希望下一次还能遇到这么完美的风景和天气，我要把这些瞬间定格在心里！！,,0
uc_aigc002,今天去了家小红薯上超多人打卡的网红甜品店，点了店里最受欢迎的芒果慕斯。慕斯味道超级浓郁，每一口都像是在吃软绵绵的芒果味的云朵！奶油细腻滑顺，芒果香味浓郁，让我觉得每口吃下去都很丝滑，口感很美妙，感觉自己拥有了超棒的一次甜品体验，完全没有踩雷，所以吃的时候心情也特别开心。这个甜点的颜值太高了，出了很多片，味道也是堪称完美哈哈哈～以后我也会常常来这里打卡更多别的甜品，享受让人治愈的幸福时光，也希望每个喜欢甜食的朋友都能尝到这份幸福，感受到甜蜜带来的快乐～,,0
uc_aigc003,最近我变得特别喜欢自拍，每天都在追求拍到最自然、最漂亮的自己。而且喜欢上自拍之后，我的笑容越来越灿烂，自信心也比以前高很多了。每次出门我都觉得自己是最有魅力的女生，每天听到别人夸我好看也让我更有动力变得更好！每天照镜子里的自己皮肤好，越来越漂亮，我的心情也变得特别棒。每天努力让自己变得更可爱、更有气质，觉得自己是最棒嘟！希望每个人都能找到属于自己的美丽和自信心，勇敢展现最真实的自己，活出最精彩的样子～,,0
